sales_date,product_type,product_name,quantity,price
2022-08-03 17:35:00,Ocard兌換券,O-壽星特調,1,0
2022-08-03 17:35:00,Ocard兌換券,會員生日禮,1,0
2022-08-03 17:35:00,Other Classic,Long Island Iced Tea,1,380
2022-08-03 17:35:00,Other Classic,JagerBomb,1,350
2022-08-03 17:35:00,Signature Cocktail,尋根,1,400
2022-08-03 17:35:00,Signature Cocktail,雲嫣,1,380
2022-08-03 17:35:00,Signature Cocktail,琥珀,1,380
2022-08-03 17:35:00,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-03 17:35:00,Signature Cocktail,山海關,1,420
2022-08-03 17:35:00,Soft Drink,Coke,1,100
2022-08-03 17:35:00,Soft Drink,Coke,1,100
2022-08-03 17:35:00,Special及活動,Special Mocktail,1,250
2022-08-03 17:35:00,Special及活動,主廚限定餐點,1,280
2022-08-03 17:35:00,下酒菜,松阪豬炒水蓮,1,220
2022-08-03 17:35:00,主食,干貝雞汁拌麵,1,260
2022-08-03 17:35:00,主食,香辣干燒蝦拌麵,1,260
2022-08-03 17:35:00,主食,干貝雞汁拌麵,1,260
2022-08-03 17:35:00,主食,手工高麗菜豬肉水餃,1,200
2022-08-03 17:35:00,主食,野菇櫻花蝦飯,1,250
2022-08-03 17:35:00,主食,手工高麗菜豬肉水餃,1,200
2022-08-03 17:35:00,主食,干貝雞汁拌麵,1,260
2022-08-03 17:35:00,滷味,秘制滷味拼盤,1,360
2022-08-03 17:35:00,滷味,秘制滷味拼盤,1,360
2022-08-03 17:35:00,炸物,轟炸雞軟骨,1,240
2022-08-03 17:35:00,炸物,太極雙醬薯條,1,220
2022-08-03 17:35:00,炸物,可樂果炸雞,1,320
2022-08-03 17:35:00,炸物,酥炸廣島牡蠣,1,320
2022-08-03 17:35:00,炸物,吉祥炸物拼盤,1,450
2022-08-03 17:35:00,特色餐點,蒜酥黃金魚皮,1,220
2022-08-03 17:36:00,Ocard兌換券,黃金會員餐食兌換券,1,0
2022-08-03 17:36:00,Ocard兌換券,O-迎賓小點,1,0
2022-08-03 17:36:00,Ocard兌換券,黃金會員入會禮兌換券,1,0
2022-08-03 17:36:00,Signature Cocktail,綠洲,1,400
2022-08-03 17:36:00,Signature Cocktail,尋根,1,400
2022-08-03 17:36:00,Signature Cocktail,琥珀,1,0
2022-08-03 17:36:00,Signature Cocktail,白霜,1,0
2022-08-03 17:36:00,Signature Cocktail,白霜,1,380
2022-08-03 17:36:00,Single Malt,THE DALMORE 18yo,1,800
2022-08-03 17:36:00,下酒菜,松阪豬炒水蓮,1,220
2022-08-03 17:36:00,主食,野菇櫻花蝦飯,1,250
2022-08-03 17:36:00,主食,干貝雞汁拌麵,1,260
2022-08-03 17:36:00,主食,手工高麗菜豬肉水餃,1,200
2022-08-03 17:36:00,湯物,酒蒸蛤蠣,1,320
2022-08-03 17:36:00,滷味,香滷牛三寶拼盤,1,380
2022-08-03 17:36:00,滷味,自制滷豆干,1,0
2022-08-03 17:36:00,炸物,吉祥炸物拼盤,1,450
2022-08-03 17:36:00,炸物,轟炸雞軟骨,1,240
2022-08-03 17:36:00,炸物,太極雙醬薯條,1,220
2022-08-03 17:36:00,特色餐點,蒜酥黃金魚皮,1,220
2022-08-03 17:36:00,特色餐點,芥末蘋果蝦球,1,340
2022-08-03 17:36:00,過往活動及已下架產品,#crouchide 1,1,0
2022-08-03 17:36:00,過往活動及已下架產品,#crouchide 3,1,0
2022-08-03 17:36:00,過往活動及已下架產品,綻,1,0
2022-08-03 17:36:00,過往活動及已下架產品,綻,1,0
2022-08-03 17:36:00,醬料,雙醬,1,50
2022-08-03 18:37:00,招待,招待Whisky Shot,5,0
2022-08-03 18:37:00,招待,招待Whisky Shot,7,0
2022-08-03 18:37:00,招待,招待Gin Shot,5,0
2022-08-03 18:37:00,招待,招待Whisky Shot,5,0
2022-08-03 18:37:00,招待,招待Whisky Shot,5,0
2022-08-03 18:37:00,招待,招待Gin Shot,9,0
2022-08-03 18:37:00,招待,招待Whisky Shot,9,0
2022-08-03 18:37:00,招待,招待Whisky Shot,9,0
2022-08-03 18:37:00,招待,招待Rum Shot,3,0
2022-08-03 18:37:00,招待,招待Gin Shot,6,0
2022-08-03 18:42:00,Classic Cocktail,Negroni,1,380
2022-08-03 18:42:00,Special及活動,Special Cocktail,1,380
2022-08-03 19:12:00,Classic Cocktail,Aviation,1,350
2022-08-03 19:35:00,Signature Cocktail,琥珀,1,380
2022-08-03 19:35:00,滷味,自制滷豆干,1,100
2022-08-03 19:35:00,過往活動及已下架產品,綻,2,0
2022-08-03 21:13:00,Classic Cocktail,Cosmopolitan,1,300
2022-08-03 21:13:00,Signature Cocktail,尋根,1,400
2022-08-03 21:13:00,Special及活動,Special Cocktail,1,450
2022-08-03 21:13:00,特色餐點,芥末蘋果蝦球,1,340
2022-08-03 21:17:00,下酒菜,油潑香辣腱子肉,1,240
2022-08-03 21:17:00,招待,招待Gin Shot,7,0
2022-08-03 21:17:00,過往活動及已下架產品,綻,5,0
2022-08-03 21:17:00,過往活動及已下架產品,綻,1,0
2022-08-03 22:04:00,Beer,PERONI draft beer,1,250
2022-08-03 22:04:00,Classic Cocktail,Old Fashion,1,350
2022-08-03 22:04:00,Signature Cocktail,白霜,1,0
2022-08-03 22:04:00,主食,手工高麗菜豬肉水餃,1,200
2022-08-03 22:04:00,過往活動及已下架產品,綻,1,0
2022-08-03 22:04:00,過往活動及已下架產品,#crouchide 1,1,0
2022-08-03 22:04:00,過往活動及已下架產品,綻,1,0
2022-08-03 22:44:00,Beer,PERONI draft beer,0,0
2022-08-03 22:44:00,Beer,PERONI draft beer,0,0
2022-08-03 22:44:00,Beer,PERONI draft beer,0,0
2022-08-03 22:44:00,Ocard兌換券,鉑金會員升階禮兌換券,1,0
2022-08-03 22:44:00,Signature Cocktail,哈庫那瑪塔塔,0,0
2022-08-03 22:44:00,Signature Cocktail,山海關,0,0
2022-08-03 22:44:00,Signature Cocktail,浪子之琴,0,0
2022-08-03 22:44:00,Special及活動,Special Cocktail,1,420
2022-08-03 22:44:00,炸物,太極雙醬薯條,1,0
2022-08-03 22:44:00,過往活動及已下架產品,綻,1,0
2022-08-03 23:00:00,Signature Cocktail,炙陽,1,0
2022-08-03 23:00:00,Signature Cocktail,浮生若夢,1,0
2022-08-03 23:00:00,Signature Cocktail,琥珀,1,0
2022-08-03 23:00:00,過往活動及已下架產品,綻,2,0
2022-08-03 23:00:00,過往活動及已下架產品,#crouchide 2,1,0
2022-08-03 23:00:00,過往活動及已下架產品,#crouchide 3,1,0
2022-08-03 23:00:00,過往活動及已下架產品,#crouchide 4,1,0
2022-08-03 23:51:00,Beer,PERONI draft beer,1,250
2022-08-03 23:51:00,Gin,LONEWOLF CACTUS & LIME,1,400
2022-08-03 23:51:00,Ocard金鑽會員點數兌換,金鑽兌換-純飲Shots乙盤(6杯) 25點,1,0
2022-08-03 23:51:00,Shot,House Shot,1,0
2022-08-03 23:51:00,Shot,House Shot,1,0
2022-08-03 23:51:00,Shot,House Shot,1,0
2022-08-03 23:51:00,Shot,House Shot,1,0
2022-08-03 23:51:00,Shot,House Shot,1,0
2022-08-03 23:51:00,Shot,House Shot,1,0
2022-08-04 00:17:00,Beer,PERONI draft beer,1,250
2022-08-04 00:17:00,Beer,PERONI draft beer,1,250
2022-08-04 00:17:00,Beer,PERONI draft beer,1,250
2022-08-04 00:17:00,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-04 00:25:00,Signature Cocktail,龍柏,1,0
2022-08-04 00:25:00,Signature Cocktail,琥珀,1,0
2022-08-04 00:25:00,Signature Cocktail,炙陽,1,0
2022-08-04 00:25:00,Signature Cocktail,浮生若夢,1,0
2022-08-04 00:25:00,過往活動及已下架產品,#crouchide 4,1,0
2022-08-04 00:25:00,過往活動及已下架產品,#crouchide 2,1,0
2022-08-04 00:25:00,過往活動及已下架產品,#crouchide 5,1,0
2022-08-04 00:25:00,過往活動及已下架產品,#crouchide 3,1,0
2022-08-04 01:08:00,Signature Cocktail,浪子之琴,1,420
2022-08-04 01:08:00,Signature Cocktail,山海關,1,420
2022-08-04 17:24:00,香菸,雲斯頓天香5毫克,1,100
2022-08-04 17:49:00,Beer,PERONI draft beer,1,250
2022-08-04 17:49:00,Signature Cocktail,浮生若夢,1,400
2022-08-04 17:49:00,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-04 17:49:00,Signature Cocktail,白霜,1,380
2022-08-04 17:49:00,Signature Cocktail,東方美人,1,420
2022-08-04 17:49:00,Signature Cocktail,東方美人,1,420
2022-08-04 17:49:00,Signature Cocktail,東方美人,1,420
2022-08-04 17:49:00,Signature Cocktail,龍柏,1,400
2022-08-04 17:49:00,Signature Cocktail,琥珀,1,380
