"結帳時間","類型","單號/交易序號","","發票號碼","銷售金額","實收金額","服務費","折扣","稅額","支付方式","員工",""
"2022/08/0801:23","內用","4
2022080718370004
","","","2,970","2,970","270","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0801:25","內用","14
2022080800180015
","","","572","328","52","244","0","=""現金""","-(000000)90466979",""
"2022/08/0801:27","內用","15
2022080801060016
","","","275","193","25","82","0","=""信用卡""","-(000000)90466979",""
"2022/08/0801:28","內用","1
2022080717550001
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0801:41","內用","16
2022080801410017
 作廢2022/08/08 01:47","","","2,134","2,134","194","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0801:47","內用","17
2022080801470018
 作廢2022/08/08 01:48","","","2,134","2,134","194","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0801:48","內用","18
2022080801480019
","","","2,134","2,134","194","0","0","=""現金""","-(000000)90466979",""
"2022/08/0820:11","內用","1
2022080817310001
","","","2,101","2,101","191","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0823:11","內用","4
2022080821180004
","","","6,743","6,743","613","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0900:07","內用","3
2022080820380003
","","","902","631","82","271","0","=""現金""","-(000000)90466979",""
"2022/08/0900:40","內用","6
2022080822250006
","","","640","640","0","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0900:51","內用","5
2022080821560005
","","","4,664","4,664","424","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0901:37","內用","8
2022080901300008
","","","495","495","45","0","0","=""現金""","-(000000)90466979",""
"2022/08/0901:39","內用","7
2022080900590007
","","","440","440","40","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0901:43","內用","10
2022080901380010
","","","462","462","42","0","0","=""現金""","-(000000)90466979",""
"2022/08/0901:45","內用","9
2022080901300009
","","","1,320","1,320","120","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0901:46","內用","2
2022080817330002
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0921:48","內用","7
2022080921240007
","","","924","924","84","0","0","=""現金""","-(000000)90466979",""
"2022/08/0922:15","內用","1
2022080917380001
","","","2,816","2,816","256","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0922:49","內用","4
2022080920310004
","","","4,477","4,477","407","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0923:30","內用","5
2022080920590005
","","","3,432","3,432","312","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0923:48","內用","2-1
2022080923470009
","","","12,815","12,815","1,165","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1000:00","內用","8
2022080921360008
","","","880","640","80","240","0","=""信用卡""","-(000000)90466979",""
"2022/08/1000:08","內用","9
2022081000070010
","","","660","660","60","0","0","=""現金""","-(000000)90466979",""
"2022/08/1000:15","內用","10
2022081000150011
","","","242","242","22","0","0","=""現金""","-(000000)90466979",""
"2022/08/1000:40","內用","12
2022081000390013
","","","495","495","45","0","0","=""現金""","-(000000)90466979",""
