sales_date,product_type,product_name,product_price,product_amount,sales_price,discount,discount_total,real_receive_price
2022-08-21 00:24:32,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-21 00:24:32,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-21 00:24:32,Beer,GUINNESS,250,1,250,0,0,250
2022-08-21 00:24:32,Beer,GUINNESS,250,1,250,0,0,250
2022-08-21 00:24:32,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-21 00:24:32,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-21 00:24:32,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-21 00:24:32,Signature Cocktail,雲嫣,380,1,380,0,0,380
2022-08-21 00:24:32,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-21 00:24:32,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-21 00:24:32,Signature Cocktail,盛夏 (PERONI仲夏限定特調),400,1,400,0,0,400
2022-08-21 00:24:32,Signature Cocktail,雲初之上,400,1,400,0,0,400
2022-08-21 00:24:32,Signature Cocktail,山海關,420,1,420,0,0,420
2022-08-21 00:24:32,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-21 00:24:32,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-21 00:24:32,Signature Cocktail,浪子之琴,420,1,420,0,0,420
2022-08-20 00:33:29,Classic Cocktail,Mai Tai,380,1,380,0,0,380
2022-08-20 00:33:29,Signature Cocktail,炙陽,380,1,380,0,0,380
2022-08-20 00:33:29,Classic Cocktail,Penicillin,400,1,400,0,0,400
2022-08-20 00:33:29,Signature Cocktail,山海關,420,1,420,0,0,420
2022-08-28 00:57:12,Signature Cocktail,西方世界,400,1,400,0,0,400
2022-08-28 00:57:12,Signature Cocktail,綠洲,400,1,400,0,0,400
2022-08-03 20:31:13,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-04 00:17:44,Beer,PERONI draft beer,250,1,250,0,0,250
2022-08-04 00:17:44,Beer,PERONI draft beer,250,1,250,250,250,0
2022-08-04 00:17:44,Beer,PERONI draft beer,250,1,250,0,0,250
2022-08-04 00:17:44,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-28 22:38:52,Classic Cocktail,Gin  Tonic,320,1,320,0,0,320
2022-08-28 22:38:52,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-28 22:38:52,Signature Cocktail,山海關,420,1,420,0,0,420
2022-08-28 22:38:52,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-24 00:48:35,Classic Cocktail,Cosmopolitan,300,1,300,0,0,300
2022-08-24 00:48:35,Classic Cocktail,Gin  Tonic,320,1,320,0,0,320
2022-08-24 00:48:35,Other Classic,Gin Fizz,350,1,350,0,0,350
2022-08-24 00:48:35,Classic Cocktail,Mojito,350,1,350,0,0,350
2022-08-24 00:48:35,Other Classic,Gin Fizz,350,1,350,0,0,350
2022-08-24 00:48:35,Shot,House Shot(Tequila),100,4,400,0,0,400
2022-08-24 00:48:35,Signature Cocktail,西方世界,400,1,400,0,0,400
2022-08-04 19:27:33,Beer,PERONI draft beer,250,1,250,0,0,250
2022-08-04 19:27:33,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-20 00:16:46,Classic Cocktail,Singapore Sling,380,1,380,0,0,380
2022-08-20 00:16:46,Signature Cocktail,炙陽,380,1,380,0,0,380
2022-08-15 22:38:19,Signature Cocktail,白霜,380,1,380,0,0,380
2022-08-15 22:38:19,Signature Cocktail,雲初之上,400,1,400,0,0,400
2022-08-15 00:19:47,Other Classic,Daiquiri,320,1,320,0,0,320
2022-08-15 00:19:47,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-15 00:19:47,Signature Cocktail,雲初之上,400,1,400,0,0,400
2022-08-15 00:19:47,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-20 01:34:33,Signature Cocktail,琥珀,380,1,380,0,114,266
2022-08-28 23:53:26,Signature Cocktail,雲嫣,380,1,380,0,0,380
2022-08-28 23:53:26,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-28 23:53:26,Classic Cocktail,Negroni,380,1,380,0,0,380
2022-08-28 23:53:26,Signature Cocktail,龍柏,400,1,400,0,0,400
2022-08-28 23:53:26,Signature Cocktail,山海關,420,1,420,0,0,420
2022-08-28 23:53:26,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-06 23:00:46,Other Classic,Cuba Libre,300,1,300,0,0,300
2022-08-06 23:00:46,Signature Cocktail,雲嫣,380,1,380,0,0,380
2022-08-06 23:00:46,Gin,LONEWOLF(Tonic),380,1,380,0,0,380
2022-08-06 23:00:46,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-21 01:35:55,Classic Cocktail,Gin  Tonic,320,1,320,0,0,320
2022-08-21 01:35:55,Classic Cocktail,Gin  Tonic,320,1,320,0,0,320
2022-08-21 01:35:55,Classic Cocktail,Side Car,350,1,350,0,0,350
2022-08-21 01:35:55,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-21 01:35:55,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-04 19:55:12,Classic Cocktail,Mojito,350,1,350,0,0,350
2022-08-04 19:55:12,Signature Cocktail,白霜,380,1,380,0,0,380
