"交易序號","發票編號","類別名稱","商品名稱","數量","點單金額","客數","商品單位"
"20220803 22040015","","Signature Cocktail","白霜","1","0","0","選擇追蹤單位"
"20220803 22040015","","Classic Cocktail","Old Fashion","1","350","0",""
"20220803 22040015","","過往活動及已下架產品","綻","1","0","0",""
"20220803 22440016","","炸物","太極雙醬薯條","1","0","0","選擇追蹤單位"
"20220803 22440016","","Beer","PERONI draft beer","0","0","0","選擇追蹤單位"
"20220803 22440016","","Beer","PERONI draft beer","0","0","0","選擇追蹤單位"
"20220803 22440016","","Ocard兌換券","鉑金會員升階禮兌換券","1","0","0","選擇追蹤單位"
"20220803 22440016","","Beer","PERONI draft beer","0","0","0","選擇追蹤單位"
"20220803 22440016","","過往活動及已下架產品","綻","1","0","0",""
"20220803 22440016","","Signature Cocktail","哈庫那瑪塔塔","0","0","0","選擇追蹤單位"
"20220803 22440016","","Special及活動","Special Cocktail","1","420","0","選擇追蹤單位"
"20220803 22440016","","Signature Cocktail","山海關","0","0","0","選擇追蹤單位"
"20220803 22440016","","Signature Cocktail","浪子之琴","0","0","0","選擇追蹤單位"
"20220803 23000017","","過往活動及已下架產品","綻","2","0","0",""
"20220803 23000017","","過往活動及已下架產品","#crouchide 2","1","0","0","選擇追蹤單位"
"20220803 23000017","","Signature Cocktail","炙陽","1","0","0","選擇追蹤單位"
"20220803 23000017","","過往活動及已下架產品","#crouchide 3","1","0","0","選擇追蹤單位"
"20220803 23000017","","Signature Cocktail","浮生若夢","1","0","0","選擇追蹤單位"
"20220803 23000017","","Signature Cocktail","琥珀","1","0","0","選擇追蹤單位"
"20220803 23000017","","過往活動及已下架產品","#crouchide 4","1","0","0","選擇追蹤單位"
"20220803 23510018","","Shot","House Shot","1","0","0","選擇追蹤單位"
"20220803 23510018","","Shot","House Shot","1","0","0","選擇追蹤單位"
"20220803 23510018","","Shot","House Shot","1","0","0","選擇追蹤單位"
"20220803 23510018","","Gin","LONEWOLF CACTUS & LIME","1","400","0","選擇追蹤單位"
"20220803 23510018","","Shot","House Shot","1","0","0","選擇追蹤單位"
"20220803 23510018","","Beer","PERONI draft beer","1","250","0","選擇追蹤單位"
"20220803 23510018","","Shot","House Shot","1","0","0","選擇追蹤單位"
"20220803 23510018","","Ocard金鑽會員點數兌換","金鑽兌換-純飲Shots乙盤(6杯) 25點","1","0","0","選擇追蹤單位"
"20220803 23510018","","Shot","House Shot","1","0","0","選擇追蹤單位"
"20220804 00170020","","Signature Cocktail","哈庫那瑪塔塔","1","420","0","選擇追蹤單位"
"20220804 00170020","","Beer","PERONI draft beer","1","250","0","選擇追蹤單位"
"20220804 00170020","","Beer","PERONI draft beer","1","250","0","選擇追蹤單位"
"20220804 00170020","","Beer","PERONI draft beer","1","250","0","選擇追蹤單位"
"20220804 00250021","","過往活動及已下架產品","#crouchide 4","1","0","0","選擇追蹤單位"
"20220804 00250021","","Signature Cocktail","龍柏","1","0","0","選擇追蹤單位"
"20220804 00250021","","過往活動及已下架產品","#crouchide 2","1","0","0","選擇追蹤單位"
"20220804 00250021","","Signature Cocktail","琥珀","1","0","0","選擇追蹤單位"
"20220804 00250021","","過往活動及已下架產品","#crouchide 5","1","0","0","選擇追蹤單位"
"20220804 00250021","","Signature Cocktail","炙陽","1","0","0","選擇追蹤單位"
"20220804 00250021","","過往活動及已下架產品","#crouchide 3","1","0","0","選擇追蹤單位"
"20220804 00250021","","Signature Cocktail","浮生若夢","1","0","0","選擇追蹤單位"
"20220804 01080022","","Signature Cocktail","浪子之琴","1","420","0","選擇追蹤單位"
"20220804 01080022","","Signature Cocktail","山海關","1","420","0","選擇追蹤單位"
"20220804 17240001","","香菸","雲斯頓天香5毫克","1","100","0","選擇追蹤單位"
"20220804 17490002","","Signature Cocktail","浮生若夢","1","400","0","選擇追蹤單位"
"20220804 17490002","","炸物","酥炸廣島牡蠣","1","320","0","選擇追蹤單位"
"20220804 17490002","","炸物","可樂果炸雞","1","320","0","選擇追蹤單位"
"20220804 17490002","","湯物","酒蒸蛤蠣","1","320","0","選擇追蹤單位"
"20220804 17490002","","下酒菜","孜然霸王骨","1","450","0","選擇追蹤單位"
"20220804 17490002","","Signature Cocktail","哈庫那瑪塔塔","1","420","0","選擇追蹤單位"
"20220804 17490002","","開胃小點","經典台式泡菜","1","80","0","選擇追蹤單位"
"20220804 17490002","","Signature Cocktail","白霜","1","380","0","選擇追蹤單位"
"20220804 17490002","","主食","香辣干燒蝦拌麵","1","260","0","選擇追蹤單位"
"20220804 17490002","","開胃小點","臥龍三椒鳳爪","1","120","0","選擇追蹤單位"
