"分店代碼","建立時間","交易序號","用餐方式","桌號","單號","pos機號","發票號碼","服務費","低銷","折扣總額","結帳金額","淨額"
"01","2022-08-13 01:03:11","20220812 17420007","內用","B1","7","2","","716","0","0","7876","7501"
"01","2022-08-13 01:11:35","20220812 22400024","內用","A1","24","2","","128","0","0","1408","1341"
"01","2022-08-13 01:23:41","20220813 00110029","內用","B6","29","2","","163","0","0","1793","1708"
"01","2022-08-13 01:29:45","20220812 19310014","內用","小VIP","14","2","","457","0","0","5027","4788"
"01","2022-08-13 01:44:24","20220812 22140023","內用","A11","23","2","","317","0","0","3487","3321"
"01","2022-08-13 02:27:18","20220813 01180031","內用","A3","31","2","","82","0","0","902","859"
"01","2022-08-13 02:31:08","20220812 23370028","內用","B4","28","2","","233","0","0","2563","2441"
"01","2022-08-13 02:32:44","20220812 23180027","內用","A10","27","2","","309","0","0","3399","3237"
"01","2022-08-13 02:33:17","20220812 17350001","內用","員工","1","2","","0","0","0","0","0"
"01","2022-08-13 19:30:39","20220813 17440008","內用","B7","8","2","","245","0","0","2695","2567"
"01","2022-08-13 19:43:42","20220813 19430012","內用","站A","12","2","","0","0","0","125","119"
"01","2022-08-13 19:46:39","20220813 19450013","內用","站A","13","2","","0","0","0","100","95"
"01","2022-08-13 21:21:04","20220813 19390011","內用","A6","11","2","","139","0","0","1529","1456"
"01","2022-08-13 22:09:25","20220813 17440002","內用","A5","2","2","","306","0","0","3366","3206"
"01","2022-08-13 22:26:50","20220813 20340015","內用","A10","15","2","","198","0","0","2178","2074"
"01","2022-08-13 23:23:13","20220813 17440004","內用","A12","4","2","","227","0","0","2497","2378"
"01","2022-08-13 23:27:41","20220813 17440009","內用","B9","9","2","","434","0","120","4654","4432"
"01","2022-08-13 23:38:57","20220813 17440005","內用","小VIP","5","2","","370","0","0","4070","3876"
"01","2022-08-13 23:48:05","20220813 20440016","內用","A7","16","2","","138","0","0","1518","1446"
"01","2022-08-14 00:01:31","20220813 17440006","內用","B2","6","2","","434","0","0","4774","4547"
"01","2022-08-14 00:20:49","20220813 21520018","內用","A3","18","2","","274","0","0","3014","2870"
"01","2022-08-14 00:28:41","20220813 23440022","內用","A12","21","2","","156","0","0","1716","1634"
"01","2022-08-14 00:32:13","20220814 00310023","內用","站A","23","2","","0","0","0","100","95"
"01","2022-08-14 00:34:22","20220814 00340024","內用","員工","24","2","","0","0","0","100","95"
"01","2022-08-14 00:45:41","20220813 22340020","內用","A10","20","2","","260","0","0","2860","2724"
"01","2022-08-14 00:46:56","20220813 23350021","內用","B9","22","2","","38","0","0","418","398"
"01","2022-08-14 00:47:42","20220813 17430001","內用","A1","1","2","","677","0","0","7447","7092"
"01","2022-08-14 01:04:30","20220813 20320014","內用","大VIP-A","14","2","","560","0","0","6160","5867"
"01","2022-08-14 01:06:51","20220813 17440007","內用","B4","7","2","","193","0","0","2123","2022"
"01","2022-08-14 01:07:51","20220814 00530025","內用","B9","25","2","","38","0","0","418","398"
"01","2022-08-14 01:12:19","20220813 17440003","內用","大VIP-C","3","2","","682","0","0","7502","7145"
"01","2022-08-14 01:23:11","20220813 22110019","內用","A5","19","2","","255","0","0","2805","2671"
"01","2022-08-14 02:23:09","20220814 01260027","內用","A12","27","2","","338","0","0","3718","3541"
"01","2022-08-14 02:28:33","20220814 01300028","內用","A1","28","2","","352","0","0","3872","3688"
"01","2022-08-14 02:32:04","20220813 21050017","內用","B7","17","2","","513","0","0","5643","5374"
"01","2022-08-14 02:33:28","20220814 01390029","內用","B4","29","2","","120","0","0","1320","1257"
"01","2022-08-14 02:36:17","20220813 18190010","內用","員工","10","2","","0","0","0","0","0"
"01","2022-08-14 02:37:41","20220814 01010026","內用","B2","26","2","","268","0","0","2948","2808"
"01","2022-08-14 21:07:38","20220814 21070009","內用","站A","9","2","","0","0","0","125","119"
"01","2022-08-14 21:22:01","20220814 19310003","內用","A3","3","2","","256","0","0","2816","2682"
"01","2022-08-14 21:39:23","20220814 20420007","內用","A10","7","2","","159","0","0","1749","1666"
"01","2022-08-14 22:11:49","20220814 19550006","內用","B4","6","2","","267","0","0","2937","2797"
"01","2022-08-14 22:29:40","20220814 17470002","內用","A1","2","2","","185","0","0","2035","1938"
"01","2022-08-14 23:56:15","20220814 20430008","內用","A12","8","2","","317","0","0","3487","3321"
"01","2022-08-15 00:08:17","20220814 22020010","內用","A3","10","2","","220","0","0","2420","2305"
"01","2022-08-15 00:19:47","20220814 22050011","內用","B7","11","2","","240","0","0","2640","2514"
"01","2022-08-15 01:27:41","20220815 01030013","內用","B10","13","2","","0","0","0","350","333"
"01","2022-08-15 01:29:09","20220814 19380004","內用","B9","4","2","","389","0","0","4279","4075"
"01","2022-08-15 01:33:21","20220815 00290012","內用","A1","12","2","","320","0","0","3520","3352"
"01","2022-08-15 01:37:20","20220815 01350014","內用","A1","14","2","","80","0","0","880","838"
"01","2022-08-15 01:39:43","20220814 17470001","內用","員工","1","2","","0","0","0","0","0"
"01","2022-08-15 01:47:03","20220815 01460015","內用","B7","15","2","","0","0","0","1540","1467"
"01","2022-08-15 18:30:16","20220815 18290005","內用","員工","5","2","","0","0","0","100","95"
"01","2022-08-15 19:58:51","20220815 19580008","內用","員工","8","2","","0","0","0","100","95"
"01","2022-08-15 19:59:55","20220815 19290006","內用","B4","6","2","","32","0","0","352","335"
"01","2022-08-15 21:44:26","20220815 19330007","內用","B7","7","2","","218","0","0","2398","2284"
"01","2022-08-15 22:35:27","20220815 18050004","內用","A3","4","2","","327","0","250","3347","3188"
"01","2022-08-15 22:38:19","20220815 21480010","內用","B4","10","2","","78","0","0","858","817"
"01","2022-08-16 00:19:37","20220815 17370002","內用","A1","2","2","","337","0","0","3707","3530"
"01","2022-08-16 01:26:54","20220816 00220011","內用","B10","11","2","","40","0","0","440","419"
"01","2022-08-16 01:32:41","20220815 21390009","內用","A12","9","2","","377","0","0","4147","3950"
