"分店代碼","分店名稱","建立時間","單號","用餐方式","pos機號","發票號碼","服務費","結帳金額","現金券金額","實收金額","交易金額","淨額","稅額","折扣總額","銷售總額","單品折扣總額","整單折扣總額","折扣名稱","付款方式","員工"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 00:37:26","3","內用",2,"",571,6281,0,6281,6281,5982,299,0,6281,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 01:24:29","14","內用",2,"",43,473,0,473,473,450,23,0,473,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 01:26:29","6","內用",2,"",374,4114,0,4114,4114,3918,196,0,4114,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 01:28:10","1","內用",2,"",0,0,0,0,0,0,0,0,0,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 17:23:58","2","內用",2,"",0,125,0,125,125,119,6,0,125,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 20:39:24","6","內用",2,"",38,418,0,418,418,398,20,0,418,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 22:05:10","7","內用",2,"",130,1430,0,1430,1430,1362,68,0,1430,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 23:24:56","10-1","內用",2,"",157,1727,0,1727,1727,1645,82,0,1727,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 23:26:02","10","內用",2,"",422,4642,0,4642,4642,4421,221,0,4642,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 23:27:54","8","內用",2,"",218,1898,0,1898,1898,1808,90,500,2398,500,0,"PERONI生啤酒買二送一、PERONI生啤酒買二送一","信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 23:32:21","3","內用",2,"",454,4994,0,4994,4994,4756,238,0,4994,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-30 00:17:24","11","內用",2,"",124,1364,0,1364,1364,1299,65,0,1364,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-30 01:06:06","12","內用",2,"",68,748,0,748,748,712,36,0,748,0,0,,"信用卡","90466979"
